step,train_loss,natural_val_loss,task_val_loss,combined_val_loss,lr,grad_norm
1,nan,4.607314690947533,4.604410216212273,4.605862453579903,2e-06,0.29062631726264954
500,2.065002533197403,2.194323942065239,1.3942446298897266,1.7942842859774828,0.001,0.34354129433631897
1000,1.6099669229984284,1.8967750947922468,0.8285142844542861,1.3626446896232665,0.002,0.3056759536266327
1500,1.4335701286792755,1.7512854505330324,0.7567411251366138,1.2540132878348231,0.001999537594580619,0.26397064328193665
2000,1.3690344405174255,1.6912735905498266,0.7562923477962613,1.223782969173044,0.0019981508534753028,0.21908925473690033
2500,1.3162676811218261,1.6358874626457691,0.7781799528747797,1.2070337077602744,0.0019958412016542783,0.2526291310787201
3000,1.2860593008995056,1.6045666169375181,0.8161362037062645,1.2103514103218913,0.0019926110124409216,0.26690059900283813
3500,1.2736032736301421,1.585889082401991,0.8208257853984833,1.203357433900237,0.0019884636050730054,0.24222493171691895
4000,1.2404194343090058,1.5690324902534485,0.8307315986603498,1.1998820444568992,0.0019834032412919585,0.25328758358955383
4500,1.2486815762519836,1.5535783059895039,0.8323219800367951,1.1929501430131495,0.001977435120963641,0.23750653862953186
5000,1.2108619248867034,1.5505600459873676,0.8520492855459452,1.2013046657666564,0.0019705653767351262,0.19965916872024536
5500,1.207241142988205,1.542879432439804,0.8584178276360035,1.2006486300379038,0.0019628010677329943,0.23431549966335297
6000,1.1928430515527726,1.5215666517615318,0.8619826538488269,1.1917746528051794,0.001954150172309602,0.20972581207752228
6500,1.1922114235162735,1.5285817924886942,0.8837662041187286,1.2061739983037114,0.0019446215798447843,0.18455840647220612
7000,1.194175904393196,1.5090466849505901,0.8887932226061821,1.1989199537783861,0.0019342250816114196,0.2064967304468155
7500,1.1775919806957245,1.519953791052103,0.8815048960968852,1.2007293435744941,0.0019229713607142314,0.175776869058609
8000,1.1801431661844253,1.5088012721389532,0.8977026054635644,1.2032519388012588,0.0019108719811121771,0.20004399120807648
8500,1.183279446363449,1.505130497738719,0.8853304069489241,1.1952304523438215,0.0018979393757357003,0.197766974568367
9000,1.1745042318105698,1.5060536302626133,0.897386696189642,1.2017201632261276,0.0018841868337110504,0.17843711376190186
9500,1.1664434784650803,1.479162536561489,0.9229772733524442,1.2010699049569666,0.0018696284867048118,0.22061137855052948
10000,1.1452155762910843,1.4633859042078257,0.9084767093881965,1.185931306798011,0.0018542792944026565,0.21010009944438934
